RAJ2000	DEJ2000	HIP	RArad	DErad	Plx	pmRA	pmDE	Hpmag	B-V
336.1886328173	-34.8019295044	110639	336.18857397	-34.80195029	   2.25	   19.88	    8.55	 9.2129	 1.107
336.1897339894	+22.5511304528	110640	336.19019368	+22.55129422	  46.33	 -174.67	  -67.38	 8.9184	 1.180
336.1937107637	-26.8599197252	110641	336.19374662	-26.85984341	   3.09	  -13.16	  -31.40	 7.1611	 1.519
336.1979009728	+34.7237136462	110642	336.19846275	+34.72377743	  22.48	 -189.97	  -26.24	10.4429	 1.185
336.2034867174	+28.6855814134	110643	336.20349448	+28.68565508	   2.08	   -2.80	  -30.31	 8.4893	 0.992
336.2106441989	+41.1322685387	110644	336.21063816	+41.13231370	   7.61	    1.87	  -18.58	 8.8007	 0.431
336.2138169518	+08.7366197315	110645	336.21380313	+08.73664703	   7.42	    5.62	  -11.23	 7.4458	 0.947
336.2163711694	-41.3874575069	110646	336.21607801	-41.38729114	   4.59	   90.49	  -68.45	 7.9991	 1.237
336.2288133336	+55.1246047558	110647	336.22878813	+55.12460471	   2.25	    5.93	    0.02	 8.7017	 0.110
336.2295606765	+56.7102128513	110648	336.22949005	+56.71020014	   3.26	   15.95	    5.23	 9.3309	 0.152
336.2349573972	-57.7974162477	110649	336.23413617	-57.79661013	  48.63	  180.06	 -331.66	 5.4504	 0.665
336.2363580637	+17.2874072661	110650	336.23659880	+17.28807129	  17.29	  -94.57	 -273.20	10.5078	 0.960
336.2437690283	+72.0413628434	110651	336.24380119	+72.04137103	   1.02	   -4.08	   -3.37	 8.8851	 0.006
336.2521932006	-30.7208221680	110652	336.25203151	-30.72072434	   5.63	   57.19	  -40.25	 9.7241	 0.463
